prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
102.208.81.0/24,N/A,AS36955,['AS329469'],High,"Both AS36955 and the authorized AS329469 are registered with AFRINIC and operate in Cameroon, indicating regional proximity. IRR records show AS329469 exporting the prefix, suggesting a delegation or upstream‑downstream relationship, and the prefix is primarily associated with AS329469. The announcement by AS36955 is therefore likely a misconfiguration rather than a malicious hijack.","Delegated or upstream‑downstream announcement, possibly involving regional peering or transit.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
102.216.80.0/24,N/A,AS834,"['AS401838', 'AS6079']",Medium,"The origin AS (AS834) appears to have a maintainer link to AS401838, indicating a delegated upstream‑downstream relationship, and both AS834 and AS401838 share overlapping geolocation. However, the ROA also lists AS6079, for which no organizational or business relationship with AS834 is evident, and there is no direct confirmation of a provider‑customer or sibling link. These mixed signals suggest a possible benign configuration for the AS401838 relationship but uncertainty due to the unrelated AS6079.",Delegated upstream‑downstream announcement with possible multi‑origin or prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",weak relationship
103.126.34.0/23,N/A,AS139555,['AS149422'],High,"The origin AS 139555 and the authorized AS 149422 are both APNIC‑assigned and share a maintainer object (MAINT‑AS139555) in IRR/RADB, indicating a direct administrative link. Both operate in India, suggesting a close organizational relationship, likely provider‑customer or sibling, leading to delegated upstream‑downstream announcements that are not fully covered by the ROA. Consistent visibility of the route points to a benign conflict rather than a malicious hijack.",Delegated upstream‑downstream announcement causing a misconfiguration in the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
103.126.35.0/24,N/A,AS139555,['AS149422'],High,"Both AS139555 and AS149422 are registered in India and share maintenance objects (MAINT-AS139555) that appear in the IRR records of both ASes, indicating a delegated or upstream‑downstream relationship and shared operational responsibilities, which points to a strong organizational linkage.",Delegated/upstream-downstream announcements with shared operational responsibilities.,"['Delegated / Upstream-Downstream Announcements', 'Shared Operational Responsibilities', 'Multi-Origin with Partial ROA Coverage']",same organization
103.223.184.0/23,N/A,AS151106,['AS135027'],Medium,"The origin AS151106 is not covered by the ROA, which authorizes AS135027. No direct provider‑customer, sibling, or ownership relationship is evident between the two ASes. Both are APNIC‑registered in Australia, indicating regional proximity, and AS135027 has announced the prefix historically, suggesting a possible delegated or upstream/downstream usage scenario.",Delegated/upstream-downstream or third‑party hosting announcement between related entities in the same region.,"['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., hosting, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",same region
103.223.185.0/24,N/A,AS151106,['AS135027'],High,"Both AS151106 and AS135027 are located in Australia, with the prefix primarily advertised from Melbourne. IRR records for the less specific prefix 103.223.184.0/23 authorize AS135027 and describe a WAN customer relationship, indicating a provider‑customer or delegated upstream‑downstream arrangement. The lack of any hijack indicators and the presence of a likely mis‑configured or incomplete ROA suggest the conflict is benign.",Delegated/upstream‑downstream announcement due to a provider‑customer relationship causing an ROA misconfiguration.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
103.230.69.0/24,N/A,AS60117,['AS150716'],Medium,"The origin AS (AS60117) and the authorized AS (AS150716) belong to different organizations and no direct provider‑customer or sibling relationship is evident. IRR records show a shared reference to GPLHost LLC, suggesting a possible historical or indirect organizational link, but this is not confirmed. Consequently, while there is no clear evidence of a benign relationship, the circumstantial hint prevents a definitive low rating.",Potential misconfiguration or outdated ROA due to a possible prefix transfer or ownership change.,"['Hijacks', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements']",weak relationship
103.80.135.0/24,N/A,AS64050,"['AS136038', 'AS136526', 'AS137427', 'AS205960', 'AS212921']",High,"The origin AS (AS64050) and all authorized ASes are registered under HDTIDC LIMITED or related entities and are located in Hong Kong, indicating a strong organizational or business relationship; the invalidity likely stems from a misconfiguration or incomplete ROA rather than a malicious hijack.",Delegated/upstream‑downstream announcements with partial ROA coverage within the same organization.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, cloud edges)']",same organization
103.80.135.18/32,N/A,AS64050,"['AS136038', 'AS136526', 'AS137427', 'AS205960', 'AS212921']",Medium,"There is no direct business or operational relationship between the origin AS (AS64050) and the authorized ASes, and CAIDA relationship data is empty. All parties are located in Hong Kong, indicating geographical proximity. The prefix belongs to a larger /24 block that is announced by multiple ASes, suggesting a multi‑origin situation and possible delegated upstream/downstream arrangements, which may stem from a configuration or ownership transfer that has not been reflected in the ROAs.","Multi‑origin announcement with partial ROA coverage, possibly due to delegated upstream/downstream arrangements or an unupdated prefix transfer.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex IP Transit arrangements in the region)', 'Geographical Proximity']",same region
103.83.40.0/22,N/A,AS212609,['AS17941'],Medium,"The origin AS (AS212609) and the authorized AS (AS17941) are not directly linked by ownership or known corporate ties; they operate in different regions (Europe vs. Asia) and have no confirmed business relationship. However, both have been observed announcing prefixes in the Philippines, suggesting a possible delegated or third‑party arrangement such as an upstream‑downstream or CDN/DDoS‑mitigation service that is not reflected in the current ROA.",The mismatch likely results from a delegated or third‑party announcement that is not reflected in the ROA.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Third-Party Announcements (e.g., gaming services)', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
